Alias,IATA,lat,lon,id
Liverpool,LPL,53.3336,-2.84972,397
London,LTN,51.8747,-0.368333,398
Plymouth,PLH,50.4228,-4.10583,399
Bournemouth,BOH,50.78,-1.8425,400
Southampton,SOU,50.9503,-1.3568,401
Lasham,QLA,51.1872,-1.0335,402
Alderney,ACI,49.706104,-2.21472,403
Guernsey,GCI,49.435,-2.60197,404
Jersey,JER,49.2079,-2.19551,405
Shoreham By Sea,ESH,50.8356,-0.297222,406
Biggin Hill,BQH,51.3308,0.0325,407
London,LGW,51.1481,-0.190278,408
London,LCY,51.5053,0.055278,409
Farnborough,FAB,51.2758,-0.776333,410
Blackbushe,BBS,51.3239,-0.8475,411
London,LHR,51.4706,-0.461941,412
Southend,SEN,51.5714,0.695556,413
Lydd,LYX,50.9561,0.939167,414
Manston,MSE,51.3422,1.34611,415
Carlisle,CAX,54.9375,-2.80917,416
Blackpool,BLK,53.7717,-3.02861,417
Humberside,HUY,53.5744,-0.350833,418
Barrow Island,BWF,54.128613,-3.2675,419
Leeds,LBA,53.8659,-1.66057,420
Warton,WRT,53.7451,-2.88306,421
Hawarden,CEG,53.1781,-2.97778,422
Isle Of Man,IOM,54.0833,-4.62389,423
Newcastle,NCL,55.0375,-1.69167,424
Teesside,MME,54.5092,-1.42941,425
East Midlands,EMA,52.8311,-1.32806,426
Kirkwall,KOI,58.9578,-2.905,427
Sumburgh,LSI,59.8789,-1.29556,428
Wick,WIC,58.4589,-3.09306,429
Aberdeen,ABZ,57.2019,-2.19778,430
Inverness,INV,57.5425,-4.0475,431
Glasgow,GLA,55.8719,-4.43306,432
Edinburgh,EDI,55.95,-3.3725,433
Islay,ILY,55.6819,-6.25667,434
Prestwick,PIK,55.5094,-4.58667,435
Benbecula,BEB,57.4811,-7.36278,436
Scatsta,SCS,60.4328,-1.29611,437
Dundee,DND,56.4525,-3.02583,438
Stornoway,SYY,58.2156,-6.33111,439
Tiree,TRE,56.4992,-6.86917,440
Leuchars,ADX,56.3729,-2.86844,441
Lossiemouth,LMO,57.7052,-3.33917,442
Cambridge,CBG,52.205,0.175,443
Norwich,NWI,52.6758,1.28278,444
London,STN,51.885,0.235,445
Exeter,EXT,50.7344,-3.41389,446
Bristol,FZO,51.5194,-2.59083,447
Oxford,OXF,51.8369,-1.32,448
Benson,BEX,51.6164,-1.09583,449
Lakenheath,LKZ,52.4093,0.561,450
Mildenhall,MHZ,52.3619,0.486406,451
Wyton,QUY,52.3572,-0.107833,452
Fairford,FFD,51.6822,-1.79003,453
Brize Norton,BZZ,51.75,-1.58362,454
Odiham,ODH,51.2341,-0.942825,455
Northolt,NHT,51.553,-0.418167,456
Coningsby,QCY,53.093,-0.166014,457
Honington,BEQ,52.3426,0.772939,458
Scampton,SQZ,53.3078,-0.550833,459
Linton-on-ouse,HRT,54.0489,-1.25275,460
Waddington,WTN,53.1662,-0.523811,461
Marham,KNF,52.648396,0.550692,462
Mount Pleasant,MPN,-51.8228,-58.4472,463
Amsterdam,AMS,52.3086,4.76389,464
Maastricht,MST,50.9117,5.77014,465
Eindhoven,EIN,51.4501,5.37453,466
Groningen,GRQ,53.1197,6.57944,467
Gilze-rijen,GLZ,51.5674,4.93183,468
De Kooy,DHR,52.9234,4.78062,469
Lelystad,LEY,52.4603,5.52722,470
Leeuwarden,LWR,53.2286,5.76056,471
Rotterdam,RTM,51.9569,4.43722,472
Soesterberg,UTC,52.1273,5.27619,473
Enschede,ENS,52.275833,6.889167,474
Valkenburg,LID,52.1661,4.41794,475
Woensdrecht,WOE,51.4491,4.34203,476
Cork,ORK,51.8413,-8.49111,477
Galway,GWY,53.3002,-8.94159,478
Dublin,DUB,53.4213,-6.27007,479
Connaught,NOC,53.9103,-8.81849,480
Kerry,KIR,52.1809,-9.52378,481
Shannon,SNN,52.702,-8.92482,482
Sligo,SXL,54.2802,-8.59921,483
Waterford,WAT,52.1872,-7.08696,484
Aarhus,AAR,56.3,10.619,485
Billund,BLL,55.7403,9.15178,486
Copenhagen,CPH,55.6179,12.656,487
Esbjerg,EBJ,55.5259,8.5534,488
Karup,KRP,56.2975,9.12463,489
Laeso,BYR,57.2772,11.0001,490
Maribo,MRW,54.6993,11.4401,491
Odense,ODE,55.4767,10.3309,492
Copenhagen,RKE,55.5856,12.1314,493
Ronne,RNN,55.0633,14.7596,494
Soenderborg,SGD,54.9644,9.79173,495
Skrydstrup,SKS,55.221046,9.26702,496
Skive,SQW,56.5502,9.17298,497
Thisted,TED,57.0688,8.70522,498
Vagar,FAE,62.0636,-7.27722,499
Stauning,STA,55.9901,8.35391,500
Aalborg,AAL,57.09276,9.849243,501
Luxemburg,LUX,49.623333,6.2044444,502
Alesund,AES,62.5625,6.1197,503
Andoya,ANX,69.2925,16.1442,504
Alta,ALF,69.9761,23.3717,505
Bronnoysund,BNN,65.4611,12.2175,506
Bodo,BOO,67.2692,14.3653,507
Bergen,BGO,60.2934,5.21814,508
Batsfjord,BJF,70.6005,29.6914,509
Kristiansand,KRS,58.2042,8.08537,510
Geilo,DLD,60.4173,8.51835,511
Bardufoss,BDU,69.0558,18.5404,512
Harstad/Narvik,EVE,68.4913,16.6781,513
Fagernes,VDB,61.0156,9.28806,514
Floro,FRO,61.5836,5.02472,515
Oslo,OSL,60.121,11.0502,516
Haugesund,HAU,59.3453,5.20836,517
Hasvik,HAA,70.4867,22.1397,518
Kristiansund,KSU,63.1118,7.82452,519
Kirkenes,KKN,69.7258,29.8913,520
Farsund,FAN,58.0995,6.62605,521
Molde,MOL,62.7447,7.2625,522
Mosjoen,MJF,65.784,13.2149,523
Lakselv,LKL,70.0688,24.9735,524
Notodden,NTB,59.5657,9.21222,525
Orland,OLA,63.6989,9.604,526
Roros,RRS,62.5784,11.3423,527
Rygge,RYG,59.37882,10.785439,528
Svalbard,LYR,78.2461,15.4656,529
Skien,SKE,59.185,9.56694,530
Stord,SRP,59.7919,5.34085,531
Sandnessjoen,SSJ,65.9568,12.4689,532
Tromso,TOS,69.6833,18.9189,533
Sandefjord,TRF,59.1867,10.2586,534
Trondheim,TRD,63.4578,10.924,535
Stavanger,SVG,58.8767,5.63778,536
Gdansk,GDN,54.3776,18.4662,537
Krakow,KRK,50.0777,19.7848,538
Katowice,KTW,50.4743,19.08,539
Poznan,POZ,52.421,16.8263,540
Rzeszow,RZE,50.11,22.019,541
Szczecin,SZZ,53.5847,14.9022,542
Slupsk,OSP,54.4789,17.1075,543
Warsaw,WAW,52.1657,20.9671,544
Wroclaw,WRO,51.1027,16.8858,545
Zielona Gora,IEG,52.1385,15.7986,546
Ronneby,RNB,56.2667,15.265,547
Gothenborg,GOT,57.6628,12.2798,548
Joenkoeping,JKG,57.7576,14.0687,549
Lidkoping,LDK,58.4655,13.1744,550
Gothenborg,GSE,57.7747,11.8704,551
Skovde,KVB,58.4564,13.9727,552
Trollhattan,THN,58.3181,12.345,553
Karlskoga,KSK,59.3459,14.4959,554
Mora,MXX,60.9579,14.5114,555
Stockholm,NYO,58.7886,16.9122,556
Kristianstad,KID,55.9217,14.0855,557
